id,source_object,target_object,source_row_count,target_row_count,load_status,severity,phase,error_message,created_at
20,CONTRACTS_0019,TGT_CONTRACTS_0019,72359,72359,completed,info,Validate,,2026-01-21 13:21:05
21,LOGS_0020,TGT_LOGS_0020,40527,38933,warning,critical,Reconcile,Maximum column length exceeded,2026-01-21 13:21:05
22,CONTRACTS_0021,TGT_CONTRACTS_0021,72631,72631,completed,info,Validate,,2026-01-21 13:21:05
23,BRANCHES_0022,TGT_BRANCHES_0022,96928,96928,completed,info,Validate,,2026-01-21 13:21:05
24,ACCOUNTS_0023,TGT_ACCOUNTS_0023,57528,53845,failed,medium,Extract,,2026-01-21 13:21:05
25,ALERTS_0024,TGT_ALERTS_0024,11930,11930,completed,info,Transform,,2026-01-21 13:21:05
26,DEPOSITS_0025,TGT_DEPOSITS_0025,92375,92375,completed,info,Transform,,2026-01-21 13:21:05
27,TRANSFERS_0026,TGT_TRANSFERS_0026,75946,72746,running,info,Load,,2026-01-21 13:21:05
28,CONTRACTS_0027,TGT_CONTRACTS_0027,45774,45774,completed,info,Extract,,2026-01-21 13:21:05
29,LOGS_0028,TGT_LOGS_0028,45024,45024,completed,info,Validate,,2026-01-21 13:21:05
30,ANAMBANK_0029,TGT_ANAMBANK_0029,88666,84000,warning,medium,Reconcile,Row count mismatch after transformation,2026-01-21 13:21:05
31,LOANS_0030,TGT_LOANS_0030,70603,70603,completed,info,Validate,,2026-01-21 13:21:05
32,CUSTOMERS_0031,TGT_CUSTOMERS_0031,9747,9436,warning,info,Reconcile,Connection timeout during data transfer,2026-01-21 13:21:05
33,TRANSACTIONS_0032,TGT_TRANSACTIONS_0032,43612,43320,failed,high,Validate,Connection timeout during data transfer,2026-01-21 13:21:05
34,TRANSFERS_0033,TGT_TRANSFERS_0033,97384,97371,pending,info,Transform,,2026-01-21 13:21:05
35,EMPLOYEES_0034,TGT_EMPLOYEES_0034,25571,25571,completed,info,Extract,,2026-01-21 13:21:05
36,CONFIGS_0035,TGT_CONFIGS_0035,93835,88861,running,info,Validate,,2026-01-21 13:21:05
37,ACCOUNTS_0036,TGT_ACCOUNTS_0036,91630,83900,pending,info,Validate,,2026-01-21 13:21:05
38,ANACUSTOMER_0037,TGT_ANACUSTOMER_0037,30812,30555,warning,critical,Validate,,2026-01-21 13:21:05
39,ANAMBANK_0038,TGT_ANAMBANK_0038,42200,42200,completed,info,Extract,,2026-01-21 13:21:05
40,TRANSACTIONS_0039,TGT_TRANSACTIONS_0039,89674,89674,completed,info,Reconcile,,2026-01-21 13:21:05
41,CUSTOMERS_0040,TGT_CUSTOMERS_0040,61366,61366,completed,info,Validate,,2026-01-21 13:21:05
42,SERVICES_0041,TGT_SERVICES_0041,13272,12651,warning,medium,Transform,Invalid date format encountered,2026-01-21 13:21:05
43,DOCUMENTS_0042,TGT_DOCUMENTS_0042,30902,30902,completed,info,Extract,,2026-01-21 13:21:05
44,TRANSACTIONS_0043,TGT_TRANSACTIONS_0043,48019,48019,completed,info,Load,,2026-01-21 13:21:05
45,ANAMBANK_0044,TGT_ANAMBANK_0044,50855,50855,completed,info,Load,,2026-01-21 13:21:05
46,ACCOUNTS_0045,TGT_ACCOUNTS_0045,9436,8848,failed,medium,Validate,,2026-01-21 13:21:05
47,SCHEDULES_0046,TGT_SCHEDULES_0046,58422,58272,failed,info,Validate,Null value in non-nullable column,2026-01-21 13:21:05
48,ALERTS_0047,TGT_ALERTS_0047,13370,13370,completed,info,Transform,,2026-01-21 13:21:05
49,PAYMENTS_0048,TGT_PAYMENTS_0048,46457,46457,completed,info,Validate,,2026-01-21 13:21:05
50,EMPLOYEES_0049,TGT_EMPLOYEES_0049,7570,6870,pending,info,Validate,,2026-01-21 13:21:05
51,TRANSACTIONS_0050,TGT_TRANSACTIONS_0050,98062,96329,failed,info,Transform,Data type mismatch in column transformation,2026-01-21 13:21:05
52,CARDS_0051,TGT_CARDS_0051,20533,19772,warning,critical,Reconcile,,2026-01-21 13:21:05
53,ANAMBANK_0052,TGT_ANAMBANK_0052,20113,20113,completed,info,Reconcile,,2026-01-21 13:21:05
54,TRANSACTIONS_0053,TGT_TRANSACTIONS_0053,44498,41583,failed,critical,Extract,,2026-01-21 13:21:05
55,ALERTS_0054,TGT_ALERTS_0054,78321,78321,completed,info,Extract,,2026-01-21 13:21:05
56,NOTIFICATIONS_0055,TGT_NOTIFICATIONS_0055,4293,4066,pending,info,Load,,2026-01-21 13:21:05
57,BRANCHES_0056,TGT_BRANCHES_0056,30248,29458,failed,info,Reconcile,Data type mismatch in column transformation,2026-01-21 13:21:05
58,DEPOSITS_0057,TGT_DEPOSITS_0057,81952,74907,pending,info,Load,,2026-01-21 13:21:05
59,SERVICES_0058,TGT_SERVICES_0058,90357,90357,completed,info,Transform,,2026-01-21 13:21:05
60,PAYMENTS_0059,TGT_PAYMENTS_0059,4483,4167,failed,high,Load,,2026-01-21 13:21:05
61,NOTIFICATIONS_0060,TGT_NOTIFICATIONS_0060,29033,29033,completed,info,Reconcile,,2026-01-21 13:21:05
62,REPORTS_0061,TGT_REPORTS_0061,52669,49108,warning,high,Validate,Row count mismatch after transformation,2026-01-21 13:21:05
63,BATCHES_0062,TGT_BATCHES_0062,89479,89479,completed,info,Transform,,2026-01-21 13:21:05
64,SERVICES_0063,TGT_SERVICES_0063,26565,26565,completed,info,Transform,,2026-01-21 13:21:05
65,EMPLOYEES_0064,TGT_EMPLOYEES_0064,47813,46929,pending,info,Load,,2026-01-21 13:21:05
66,ANACUSTOMER_0065,TGT_ANACUSTOMER_0065,2192,2192,completed,info,Transform,,2026-01-21 13:21:05
67,SCHEDULES_0066,TGT_SCHEDULES_0066,78393,78393,completed,info,Load,,2026-01-21 13:21:05
68,BRANCHES_0067,TGT_BRANCHES_0067,60044,54970,failed,info,Load,Foreign key constraint violation,2026-01-21 13:21:05
69,SCHEDULES_0068,TGT_SCHEDULES_0068,75040,70634,pending,info,Transform,,2026-01-21 13:21:05
70,NOTIFICATIONS_0069,TGT_NOTIFICATIONS_0069,77507,77507,completed,info,Reconcile,,2026-01-21 13:21:05
71,BATCHES_0070,TGT_BATCHES_0070,97281,97281,completed,info,Extract,,2026-01-21 13:21:05
72,ACCOUNTS_0071,TGT_ACCOUNTS_0071,20910,19650,pending,info,Validate,,2026-01-21 13:21:05
73,SCHEDULES_0072,TGT_SCHEDULES_0072,96093,92483,pending,info,Load,,2026-01-21 13:21:05
74,AUDITS_0073,TGT_AUDITS_0073,67998,67998,completed,info,Transform,,2026-01-21 13:21:05
75,SCHEDULES_0074,TGT_SCHEDULES_0074,88212,85864,running,info,Transform,,2026-01-21 13:21:05
76,CUSTOMERS_0075,TGT_CUSTOMERS_0075,91857,91857,completed,info,Load,,2026-01-21 13:21:05
77,DOCUMENTS_0076,TGT_DOCUMENTS_0076,28564,27304,pending,info,Transform,,2026-01-21 13:21:05
78,PRODUCTS_0077,TGT_PRODUCTS_0077,16826,16826,completed,info,Extract,,2026-01-21 13:21:05
79,SCHEDULES_0078,TGT_SCHEDULES_0078,54303,54303,completed,info,Reconcile,,2026-01-21 13:21:05
80,AUDITS_0079,TGT_AUDITS_0079,97693,97693,completed,info,Extract,,2026-01-21 13:21:05
81,CARDS_0080,TGT_CARDS_0080,46918,46017,running,info,Load,,2026-01-21 13:21:05
82,ANAMBANK_0081,TGT_ANAMBANK_0081,45142,45142,completed,info,Extract,,2026-01-21 13:21:05
83,DOCUMENTS_0082,TGT_DOCUMENTS_0082,12981,12691,failed,info,Extract,,2026-01-21 13:21:05
84,REPORTS_0083,TGT_REPORTS_0083,10115,10115,completed,info,Load,,2026-01-21 13:21:05
85,DEPOSITS_0084,TGT_DEPOSITS_0084,40464,40464,completed,info,Reconcile,,2026-01-21 13:21:05
86,SERVICES_0085,TGT_SERVICES_0085,10706,10706,completed,info,Extract,,2026-01-21 13:21:05
87,DEPOSITS_0086,TGT_DEPOSITS_0086,36036,34252,pending,info,Transform,,2026-01-21 13:21:05
88,SERVICES_0087,TGT_SERVICES_0087,57174,54785,pending,info,Extract,,2026-01-21 13:21:05
89,SERVICES_0088,TGT_SERVICES_0088,82614,75151,running,info,Extract,,2026-01-21 13:21:05
90,LOGS_0089,TGT_LOGS_0089,3917,3786,running,info,Extract,,2026-01-21 13:21:05
91,AUDITS_0090,TGT_AUDITS_0090,95205,89396,running,info,Validate,,2026-01-21 13:21:05
92,ACCOUNTS_0091,TGT_ACCOUNTS_0091,68920,64726,running,info,Reconcile,,2026-01-21 13:21:05
93,PRODUCTS_0092,TGT_PRODUCTS_0092,73114,70920,pending,info,Reconcile,,2026-01-21 13:21:05
94,ANACUSTOMER_0093,TGT_ANACUSTOMER_0093,50515,46040,warning,info,Extract,Foreign key constraint violation,2026-01-21 13:21:05
95,TRANSACTIONS_0094,TGT_TRANSACTIONS_0094,22133,20212,pending,info,Validate,,2026-01-21 13:21:05
96,REPORTS_0095,TGT_REPORTS_0095,79849,79849,completed,info,Load,,2026-01-21 13:21:05
97,DEPOSITS_0096,TGT_DEPOSITS_0096,94781,85511,running,info,Validate,,2026-01-21 13:21:05
98,SERVICES_0097,TGT_SERVICES_0097,70278,70278,completed,info,Validate,,2026-01-21 13:21:05
99,TRANSFERS_0098,TGT_TRANSFERS_0098,14125,12733,pending,info,Extract,,2026-01-21 13:21:05
100,CUSTOMERS_0099,TGT_CUSTOMERS_0099,91596,83721,failed,info,Load,,2026-01-21 13:21:05
101,DEPOSITS_0100,TGT_DEPOSITS_0100,88714,88714,completed,info,Validate,,2026-01-21 13:21:05
102,DEPOSITS_0101,TGT_DEPOSITS_0101,32408,30442,pending,info,Validate,,2026-01-21 13:21:05
103,PAYMENTS_0102,TGT_PAYMENTS_0102,99623,91320,pending,info,Load,,2026-01-21 13:21:05
104,REPORTS_0103,TGT_REPORTS_0103,33092,29825,running,info,Extract,,2026-01-21 13:21:05
105,REPORTS_0104,TGT_REPORTS_0104,80540,72538,failed,critical,Transform,,2026-01-21 13:21:05
106,LOANS_0105,TGT_LOANS_0105,16344,16344,completed,info,Load,,2026-01-21 13:21:05
107,CARDS_0106,TGT_CARDS_0106,3135,3003,running,info,Extract,,2026-01-21 13:21:05
108,EMPLOYEES_0107,TGT_EMPLOYEES_0107,45756,41832,running,info,Load,,2026-01-21 13:21:05
109,SERVICES_0108,TGT_SERVICES_0108,74339,73414,warning,info,Validate,Duplicate key error during load,2026-01-21 13:21:05
110,AUDITS_0109,TGT_AUDITS_0109,1476,1387,warning,medium,Validate,,2026-01-21 13:21:05
111,ALERTS_0110,TGT_ALERTS_0110,377,377,completed,info,Transform,,2026-01-21 13:21:05
112,AUDITS_0111,TGT_AUDITS_0111,86264,86264,completed,info,Validate,,2026-01-21 13:21:05
113,DEPOSITS_0112,TGT_DEPOSITS_0112,98116,98116,completed,info,Transform,,2026-01-21 13:21:05
114,EMPLOYEES_0113,TGT_EMPLOYEES_0113,96326,96326,completed,info,Validate,,2026-01-21 13:21:05
115,DOCUMENTS_0114,TGT_DOCUMENTS_0114,46241,44073,warning,low,Load,,2026-01-21 13:21:05
116,CUSTOMERS_0115,TGT_CUSTOMERS_0115,98061,98061,completed,info,Validate,,2026-01-21 13:21:05
117,ANAMBANK_0116,TGT_ANAMBANK_0116,30998,30152,warning,critical,Reconcile,,2026-01-21 13:21:05
118,CONTRACTS_0117,TGT_CONTRACTS_0117,33408,32266,running,info,Transform,,2026-01-21 13:21:05
119,EMPLOYEES_0118,TGT_EMPLOYEES_0118,91160,85375,failed,medium,Transform,Connection timeout during data transfer,2026-01-21 13:21:05
120,CONTRACTS_0119,TGT_CONTRACTS_0119,41341,41160,running,info,Load,,2026-01-21 13:21:05
121,TRANSFERS_0120,TGT_TRANSFERS_0120,56268,56268,completed,info,Load,,2026-01-21 13:21:05
122,CARDS_0121,TGT_CARDS_0121,56822,54427,pending,info,Validate,,2026-01-21 13:21:05
123,TRANSFERS_0122,TGT_TRANSFERS_0122,14049,13794,running,info,Extract,,2026-01-21 13:21:05
124,AUDITS_0123,TGT_AUDITS_0123,85319,85319,completed,info,Validate,,2026-01-21 13:21:05
125,PAYMENTS_0124,TGT_PAYMENTS_0124,92595,92595,completed,info,Validate,,2026-01-21 13:21:05
126,ANACUSTOMER_0125,TGT_ANACUSTOMER_0125,64930,64930,completed,info,Reconcile,,2026-01-21 13:21:05
127,SERVICES_0126,TGT_SERVICES_0126,55875,55875,completed,info,Load,,2026-01-21 13:21:05
128,ACCOUNTS_0127,TGT_ACCOUNTS_0127,4840,4840,completed,info,Validate,,2026-01-21 13:21:05
129,PRODUCTS_0128,TGT_PRODUCTS_0128,72178,71380,running,info,Extract,,2026-01-21 13:21:05
130,PRODUCTS_0129,TGT_PRODUCTS_0129,36281,33655,running,info,Validate,,2026-01-21 13:21:05
131,LOGS_0130,TGT_LOGS_0130,18836,18836,completed,info,Validate,,2026-01-21 13:21:05
132,EMPLOYEES_0131,TGT_EMPLOYEES_0131,33097,30758,running,info,Extract,,2026-01-21 13:21:05
133,CUSTOMERS_0132,TGT_CUSTOMERS_0132,61303,61303,completed,info,Transform,,2026-01-21 13:21:05
134,CARDS_0133,TGT_CARDS_0133,35719,35719,completed,info,Validate,,2026-01-21 13:21:05
135,DEPOSITS_0134,TGT_DEPOSITS_0134,67460,66363,warning,medium,Reconcile,,2026-01-21 13:21:05
136,SERVICES_0135,TGT_SERVICES_0135,49454,49454,completed,info,Reconcile,,2026-01-21 13:21:05
137,ANAMBANK_0136,TGT_ANAMBANK_0136,40562,40562,completed,info,Validate,,2026-01-21 13:21:05
138,NOTIFICATIONS_0137,TGT_NOTIFICATIONS_0137,16942,16942,completed,info,Reconcile,,2026-01-21 13:21:05
139,ACCOUNTS_0138,TGT_ACCOUNTS_0138,4681,4681,completed,info,Validate,,2026-01-21 13:21:05
140,DEPOSITS_0139,TGT_DEPOSITS_0139,59504,59504,completed,info,Transform,,2026-01-21 13:21:05
141,BRANCHES_0140,TGT_BRANCHES_0140,44079,44079,completed,info,Extract,,2026-01-21 13:21:05
142,AUDITS_0141,TGT_AUDITS_0141,43001,39596,warning,info,Extract,,2026-01-21 13:21:05
143,DEPOSITS_0142,TGT_DEPOSITS_0142,7039,6975,failed,high,Load,Connection timeout during data transfer,2026-01-21 13:21:05
144,ACCOUNTS_0143,TGT_ACCOUNTS_0143,66013,66013,completed,info,Extract,,2026-01-21 13:21:05
145,TRANSACTIONS_0144,TGT_TRANSACTIONS_0144,83680,83680,completed,info,Reconcile,,2026-01-21 13:21:05
146,CUSTOMERS_0145,TGT_CUSTOMERS_0145,89532,85441,warning,medium,Load,Row count mismatch after transformation,2026-01-21 13:21:05
147,TRANSFERS_0146,TGT_TRANSFERS_0146,74610,74610,completed,info,Validate,,2026-01-21 13:21:05
148,SERVICES_0147,TGT_SERVICES_0147,97574,96495,warning,medium,Extract,,2026-01-21 13:21:05
149,SERVICES_0148,TGT_SERVICES_0148,68588,67027,failed,high,Extract,Maximum column length exceeded,2026-01-21 13:21:05
150,EMPLOYEES_0149,TGT_EMPLOYEES_0149,87670,87670,completed,info,Validate,,2026-01-21 13:21:05
151,LOGS_0150,TGT_LOGS_0150,39924,37070,pending,info,Reconcile,,2026-01-21 13:21:05
152,PRODUCTS_0151,TGT_PRODUCTS_0151,98994,98994,completed,info,Validate,,2026-01-21 13:21:05
153,TRANSFERS_0152,TGT_TRANSFERS_0152,84404,83173,pending,info,Reconcile,,2026-01-21 13:21:05
154,PRODUCTS_0153,TGT_PRODUCTS_0153,80766,80766,completed,info,Reconcile,,2026-01-21 13:21:05
155,ANACUSTOMER_0154,TGT_ANACUSTOMER_0154,1549,1418,warning,low,Validate,,2026-01-21 13:21:05
156,PAYMENTS_0155,TGT_PAYMENTS_0155,76030,72179,pending,info,Transform,,2026-01-21 13:21:05
157,CONTRACTS_0156,TGT_CONTRACTS_0156,49781,49292,pending,info,Load,,2026-01-21 13:21:05
158,BATCHES_0157,TGT_BATCHES_0157,47135,44191,running,info,Transform,,2026-01-21 13:21:05
159,SCHEDULES_0158,TGT_SCHEDULES_0158,92927,92927,completed,info,Validate,,2026-01-21 13:21:05
160,SERVICES_0159,TGT_SERVICES_0159,20287,20287,completed,info,Extract,,2026-01-21 13:21:05
161,BATCHES_0160,TGT_BATCHES_0160,96080,96080,completed,info,Reconcile,,2026-01-21 13:21:05
162,DEPOSITS_0161,TGT_DEPOSITS_0161,71667,71667,completed,info,Extract,,2026-01-21 13:21:05
163,TRANSACTIONS_0162,TGT_TRANSACTIONS_0162,40788,40788,completed,info,Load,,2026-01-21 13:21:05
164,EMPLOYEES_0163,TGT_EMPLOYEES_0163,1263,1263,completed,info,Load,,2026-01-21 13:21:05
165,NOTIFICATIONS_0164,TGT_NOTIFICATIONS_0164,56540,56540,completed,info,Transform,,2026-01-21 13:21:05
166,PRODUCTS_0165,TGT_PRODUCTS_0165,17584,17584,completed,info,Reconcile,,2026-01-21 13:21:05
167,REPORTS_0166,TGT_REPORTS_0166,5136,5136,completed,info,Transform,,2026-01-21 13:21:05
168,REPORTS_0167,TGT_REPORTS_0167,47783,47783,completed,info,Validate,,2026-01-21 13:21:05
169,BRANCHES_0168,TGT_BRANCHES_0168,30859,30859,completed,info,Extract,,2026-01-21 13:21:05
170,TRANSFERS_0169,TGT_TRANSFERS_0169,63147,63147,completed,info,Reconcile,,2026-01-21 13:21:05
171,SCHEDULES_0170,TGT_SCHEDULES_0170,61481,58274,warning,high,Reconcile,Foreign key constraint violation,2026-01-21 13:21:05
172,NOTIFICATIONS_0171,TGT_NOTIFICATIONS_0171,74084,74084,completed,info,Extract,,2026-01-21 13:21:05
173,NOTIFICATIONS_0172,TGT_NOTIFICATIONS_0172,36383,33698,pending,info,Transform,,2026-01-21 13:21:05
174,BRANCHES_0173,TGT_BRANCHES_0173,9884,9439,warning,medium,Transform,Data type mismatch in column transformation,2026-01-21 13:21:05
175,CONTRACTS_0174,TGT_CONTRACTS_0174,33935,33935,completed,info,Transform,,2026-01-21 13:21:05
176,SERVICES_0175,TGT_SERVICES_0175,79134,79134,completed,info,Transform,,2026-01-21 13:21:05
177,NOTIFICATIONS_0176,TGT_NOTIFICATIONS_0176,76398,69460,warning,low,Load,Null value in non-nullable column,2026-01-21 13:21:05
178,LOGS_0177,TGT_LOGS_0177,53281,53281,completed,info,Transform,,2026-01-21 13:21:05
179,TRANSACTIONS_0178,TGT_TRANSACTIONS_0178,76607,76607,completed,info,Load,,2026-01-21 13:21:05
180,LOGS_0179,TGT_LOGS_0179,18467,16886,failed,medium,Reconcile,,2026-01-21 13:21:05
181,TRANSACTIONS_0180,TGT_TRANSACTIONS_0180,32087,31340,pending,info,Extract,,2026-01-21 13:21:05
182,NOTIFICATIONS_0181,TGT_NOTIFICATIONS_0181,15399,15399,completed,info,Load,,2026-01-21 13:21:05
183,LOANS_0182,TGT_LOANS_0182,99285,96610,running,info,Reconcile,,2026-01-21 13:21:05
184,CUSTOMERS_0183,TGT_CUSTOMERS_0183,8938,8938,completed,info,Extract,,2026-01-21 13:21:05
185,EMPLOYEES_0184,TGT_EMPLOYEES_0184,22845,21355,failed,low,Load,,2026-01-21 13:21:05
186,DOCUMENTS_0185,TGT_DOCUMENTS_0185,35608,32273,running,info,Transform,,2026-01-21 13:21:05
187,PRODUCTS_0186,TGT_PRODUCTS_0186,64097,64097,completed,info,Extract,,2026-01-21 13:21:05
188,DOCUMENTS_0187,TGT_DOCUMENTS_0187,2719,2719,completed,info,Reconcile,,2026-01-21 13:21:05
189,ANACUSTOMER_0188,TGT_ANACUSTOMER_0188,30565,30565,completed,info,Extract,,2026-01-21 13:21:05
190,CONFIGS_0189,TGT_CONFIGS_0189,70204,68414,pending,info,Reconcile,,2026-01-21 13:21:05
191,NOTIFICATIONS_0190,TGT_NOTIFICATIONS_0190,43439,40528,running,info,Reconcile,,2026-01-21 13:21:05
192,SCHEDULES_0191,TGT_SCHEDULES_0191,7296,6865,warning,high,Validate,Duplicate key error during load,2026-01-21 13:21:05
193,DOCUMENTS_0192,TGT_DOCUMENTS_0192,79232,72284,pending,info,Load,,2026-01-21 13:21:05
194,CARDS_0193,TGT_CARDS_0193,65780,65780,completed,info,Validate,,2026-01-21 13:21:05
195,SCHEDULES_0194,TGT_SCHEDULES_0194,43115,42133,warning,medium,Transform,,2026-01-21 13:21:05
196,SERVICES_0195,TGT_SERVICES_0195,42607,42607,completed,info,Transform,,2026-01-21 13:21:05
197,SERVICES_0196,TGT_SERVICES_0196,76255,76255,completed,info,Transform,,2026-01-21 13:21:05
198,TRANSACTIONS_0197,TGT_TRANSACTIONS_0197,53070,51886,running,info,Reconcile,,2026-01-21 13:21:05
199,AUDITS_0198,TGT_AUDITS_0198,73984,73984,completed,info,Reconcile,,2026-01-21 13:21:05
200,CARDS_0199,TGT_CARDS_0199,4546,4133,failed,info,Extract,,2026-01-21 13:21:05
201,SCHEDULES_0200,TGT_SCHEDULES_0200,58083,54136,pending,info,Transform,,2026-01-21 13:21:05
202,LOANS_0201,TGT_LOANS_0201,3087,2927,failed,critical,Load,Invalid date format encountered,2026-01-21 13:21:05
203,PAYMENTS_0202,TGT_PAYMENTS_0202,67641,67641,completed,info,Extract,,2026-01-21 13:21:05
204,ANAMBANK_0203,TGT_ANAMBANK_0203,56442,56442,completed,info,Load,,2026-01-21 13:21:05
205,SERVICES_0204,TGT_SERVICES_0204,44859,44859,completed,info,Extract,,2026-01-21 13:21:05
206,DOCUMENTS_0205,TGT_DOCUMENTS_0205,25692,24504,pending,info,Validate,,2026-01-21 13:21:05
207,CUSTOMERS_0206,TGT_CUSTOMERS_0206,38262,38262,completed,info,Reconcile,,2026-01-21 13:21:05
208,NOTIFICATIONS_0207,TGT_NOTIFICATIONS_0207,48369,48369,completed,info,Reconcile,,2026-01-21 13:21:05
209,REPORTS_0208,TGT_REPORTS_0208,27269,27269,completed,info,Validate,,2026-01-21 13:21:05
210,NOTIFICATIONS_0209,TGT_NOTIFICATIONS_0209,18230,18230,completed,info,Load,,2026-01-21 13:21:05
211,DEPOSITS_0210,TGT_DEPOSITS_0210,24408,24237,running,info,Extract,,2026-01-21 13:21:05
212,ANAMBANK_0211,TGT_ANAMBANK_0211,71784,71784,completed,info,Load,,2026-01-21 13:21:05
213,PAYMENTS_0212,TGT_PAYMENTS_0212,35400,32981,warning,medium,Transform,,2026-01-21 13:21:05
214,CUSTOMERS_0213,TGT_CUSTOMERS_0213,56871,56871,completed,info,Reconcile,,2026-01-21 13:21:05
215,TRANSFERS_0214,TGT_TRANSFERS_0214,44358,42044,pending,info,Validate,,2026-01-21 13:21:05
216,CONFIGS_0215,TGT_CONFIGS_0215,80051,80051,completed,info,Reconcile,,2026-01-21 13:21:05
217,AUDITS_0216,TGT_AUDITS_0216,26872,26872,completed,info,Extract,,2026-01-21 13:21:05
218,LOGS_0217,TGT_LOGS_0217,80646,76274,warning,high,Reconcile,Maximum column length exceeded,2026-01-21 13:21:05
219,BATCHES_0218,TGT_BATCHES_0218,24520,24520,completed,info,Extract,,2026-01-21 13:21:05
220,DEPOSITS_0219,TGT_DEPOSITS_0219,84661,80873,warning,medium,Transform,Maximum column length exceeded,2026-01-21 13:21:05
221,ANAMBANK_0220,TGT_ANAMBANK_0220,32112,31081,warning,info,Transform,Invalid date format encountered,2026-01-21 13:21:05
222,ALERTS_0221,TGT_ALERTS_0221,72800,72800,completed,info,Validate,,2026-01-21 13:21:05
223,DEPOSITS_0222,TGT_DEPOSITS_0222,15716,15716,completed,info,Extract,,2026-01-21 13:21:05
224,REPORTS_0223,TGT_REPORTS_0223,3691,3587,pending,info,Validate,,2026-01-21 13:21:05
225,ANAMBANK_0224,TGT_ANAMBANK_0224,42296,41215,failed,critical,Load,Maximum column length exceeded,2026-01-21 13:21:05
226,LOGS_0225,TGT_LOGS_0225,45,41,pending,info,Load,,2026-01-21 13:21:05
227,DOCUMENTS_0226,TGT_DOCUMENTS_0226,66237,61523,warning,high,Extract,Invalid date format encountered,2026-01-21 13:21:05
228,EMPLOYEES_0227,TGT_EMPLOYEES_0227,97852,90015,running,info,Transform,,2026-01-21 13:21:05
229,SERVICES_0228,TGT_SERVICES_0228,64434,64434,completed,info,Validate,,2026-01-21 13:21:05
230,CUSTOMERS_0229,TGT_CUSTOMERS_0229,80977,76006,pending,info,Validate,,2026-01-21 13:21:05
231,CONFIGS_0230,TGT_CONFIGS_0230,74370,74370,completed,info,Reconcile,,2026-01-21 13:21:05
232,TRANSFERS_0231,TGT_TRANSFERS_0231,71720,69561,running,info,Load,,2026-01-21 13:21:05
233,NOTIFICATIONS_0232,TGT_NOTIFICATIONS_0232,95856,87911,failed,medium,Validate,Row count mismatch after transformation,2026-01-21 13:21:05
234,LOANS_0233,TGT_LOANS_0233,29930,29930,completed,info,Extract,,2026-01-21 13:21:05
235,PAYMENTS_0234,TGT_PAYMENTS_0234,762,753,warning,high,Extract,,2026-01-21 13:21:05
236,ANACUSTOMER_0235,TGT_ANACUSTOMER_0235,86304,86304,completed,info,Reconcile,,2026-01-21 13:21:05
237,LOGS_0236,TGT_LOGS_0236,33725,30448,pending,info,Load,,2026-01-21 13:21:05
238,ANAMBANK_0237,TGT_ANAMBANK_0237,48745,48745,completed,info,Load,,2026-01-21 13:21:05
239,CARDS_0238,TGT_CARDS_0238,21564,21564,completed,info,Extract,,2026-01-21 13:21:05
240,SERVICES_0239,TGT_SERVICES_0239,46610,46610,completed,info,Transform,,2026-01-21 13:21:05
